PublicationDate,DataSource,Country,Country_code,emissions,Format_name,Notation,Parent_sector_code,Pollutant_name,Sector_code,Sector_name,Unit,Year
20183105,EEA,Austria,AT,64.53313,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.a,1.A.3.a - Domestic Aviation,Gg CO2 equivalent,2010
20183105,EEA,Austria,AT,13504.64823,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.b,1.A.3.b - Road Transportation,Gg CO2 equivalent,1990
20183105,EEA,Austria,AT,21841.72027,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.b,1.A.3.b - Road Transportation,Gg CO2 equivalent,2010
20183105,EEA,Austria,AT,15.58305,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.d,1.A.3.d - Domestic Navigation,Gg CO2 equivalent,1990
20183105,EEA,Austria,AT,156.33523,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.c,1.A.3.c - Railways,Gg CO2 equivalent,2010
20183105,EEA,Austria,AT,12.20229,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.d,1.A.3.d - Domestic Navigation,Gg CO2 equivalent,2010
20183105,EEA,Austria,AT,32.44314,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.a,1.A.3.a - Domestic Aviation,Gg CO2 equivalent,1990
20183105,EEA,Austria,AT,15.61271,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.d,1.A.3.d - Domestic Navigation,Gg CO2 equivalent,2000
20183105,EEA,Austria,AT,10.82015,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.d,1.A.3.d - Domestic Navigation,Gg CO2 equivalent,2016
20183105,EEA,Austria,AT,556.35505,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.e,1.A.3.e - Other Transportation,Gg CO2 equivalent,2016
20183105,EEA,Austria,AT,18245.27182,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.b,1.A.3.b - Road Transportation,Gg CO2 equivalent,2000
20183105,EEA,Austria,AT,22754.59747,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.b,1.A.3.b - Road Transportation,Gg CO2 equivalent,2016
20183105,EEA,Austria,AT,118.52389,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.c,1.A.3.c - Railways,Gg CO2 equivalent,2016
20183105,EEA,Austria,AT,149.59624,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.c,1.A.3.c - Railways,Gg CO2 equivalent,2000
20183105,EEA,Austria,AT,47.90283,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.a,1.A.3.a - Domestic Aviation,Gg CO2 equivalent,2016
20183105,EEA,Austria,AT,224.59194,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.e,1.A.3.e - Other Transportation,Gg CO2 equivalent,1990
20183105,EEA,Austria,AT,68.37814,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.a,1.A.3.a - Domestic Aviation,Gg CO2 equivalent,2000
20183105,EEA,Belgium,BE,174.93359,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.c,1.A.3.c - Railways,Gg CO2 equivalent,2000
20183105,EEA,Belgium,BE,365.25002,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.d,1.A.3.d - Domestic Navigation,Gg CO2 equivalent,1990
20183105,EEA,Belgium,BE,457.3771,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.d,1.A.3.d - Domestic Navigation,Gg CO2 equivalent,2000
20183105,EEA,Belgium,BE,16.01443,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.a,1.A.3.a - Domestic Aviation,Gg CO2 equivalent,1990
20183105,EEA,Belgium,BE,18.09397,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.a,1.A.3.a - Domestic Aviation,Gg CO2 equivalent,2010
